year,transect,site,treat,plot,Source,plant,tbo,Ln.tot,Fr.tot,aveseed1,aveseed2,totgoodseed,totbadseed,plotID,subplotID
2011,HB,L,TR,9,L,3.3,1,16,3,6.4,5,15,0,HB.L.9,HB.L.9.L
2011,HB,L,TR,9,L,3.5,0,14,7,4.25,NA,30,33.25,HB.L.9,HB.L.9.L
2011,HB,L,TR,9,L,4.2,1,33,12,NA,8.5,102,0,HB.L.9,HB.L.9.L
2011,HB,L,TR,9,L,4.3,0,26,17,10,0,160,1.777777778,HB.L.9,HB.L.9.L
2011,HB,L,TR,9,L,4.4,0,18,8,9.333333333,NA,75,0,HB.L.9,HB.L.9.L
2011,HB,L,TR,9,L,4.5,0,13,6,11,NA,66,1,HB.L.9,HB.L.9.L
2011,HB,L,TR,9,L,5.3,0,39,19,9.454545455,4.875,161,2.863636364,HB.L.9,HB.L.9.L
2011,HB,L,TR,9,M,1.2,0,18,10,11.6,NA,116,1,HB.L.9,HB.L.9.M
2011,HB,L,TR,9,M,1.3,0,28,11,9.111111111,6,97,1.111111111,HB.L.9,HB.L.9.M
2011,HB,L,TR,9,M,1.4,0,19,12,10.45454545,NA,125,0,HB.L.9,HB.L.9.M
2011,HB,L,TR,9,M,1.5,0,23,31,12.83333333,5.6,350,6,HB.L.9,HB.L.9.M
2011,HB,L,TR,9,M,2.1,0,13,5,8,NA,40,0,HB.L.9,HB.L.9.M
2011,HB,L,TR,9,M,2.5,0,11,4,7.75,NA,31,0,HB.L.9,HB.L.9.M
2011,HB,L,TR,9,M,3.1,0,9,3,7,NA,21,0,HB.L.9,HB.L.9.M
2011,HB,L,TR,9,M,3.3,0,21,9,10,NA,90,0,HB.L.9,HB.L.9.M
2011,HB,L,TR,9,M,3.4,0,11,4,13.25,NA,53,0,HB.L.9,HB.L.9.M
2011,HB,L,TR,9,M,4.2,0,14,7,11,NA,77,0,HB.L.9,HB.L.9.M
2011,HB,L,TR,9,M,5.4,0,29,21,13.5,5.166666667,217,16.29166667,HB.L.9,HB.L.9.M
2011,HB,L,TR,9,M,5.5,0,25,14,10.125,NA,142,0,HB.L.9,HB.L.9.M
2011,HB,M,TR,1,H,1.3,0,8,4,5.25,NA,21,0,HB.M.1,HB.M.1.H
2011,HB,M,TR,1,H,1.4,0,11,11,5.5,NA,60,0,HB.M.1,HB.M.1.H
2011,HB,M,TR,1,H,2.3,0,10,6,2.4,NA,14,13.2,HB.M.1,HB.M.1.H
2011,HB,M,TR,1,H,2.4,0,10,2,6,NA,12,0,HB.M.1,HB.M.1.H
2011,HB,M,TR,1,H,3.1,0,11,12,6.444444444,NA,77,6.666666667,HB.M.1,HB.M.1.H
2011,HB,M,TR,1,H,3.2,0,8,2,3.5,NA,7,0,HB.M.1,HB.M.1.H
2011,HB,M,TR,1,H,3.4,0,10,3,1.333333333,NA,4,0,HB.M.1,HB.M.1.H
2011,HB,M,TR,1,H,3.5,0,9,3,2.333333333,NA,7,2,HB.M.1,HB.M.1.H
2011,HB,M,TR,1,H,4.1,0,11,3,3.333333333,NA,10,0,HB.M.1,HB.M.1.H
2011,HB,M,TR,1,H,4.4,0,13,3,8.333333333,NA,25,0,HB.M.1,HB.M.1.H
2011,HB,M,TR,1,H,5.1,0,9,7,4.428571429,NA,31,0,HB.M.1,HB.M.1.H
2011,HB,M,TR,1,H,5.2,0,8,5,6.6,NA,33,1,HB.M.1,HB.M.1.H
2011,HB,M,TR,1,H,5.3,0,9,5,7.2,NA,36,0,HB.M.1,HB.M.1.H
2011,HB,M,TR,1,M,1.1,0,19,3,5,NA,15,0,HB.M.1,HB.M.1.M
2011,HB,M,TR,1,M,1.5,0,14,4,10,NA,40,0,HB.M.1,HB.M.1.M
2011,HB,M,TR,1,M,4.4,0,17,4,7.25,NA,29,0,HB.M.1,HB.M.1.M
2011,HB,M,TR,1,M,4.5,0,15,3,3.5,NA,10,0,HB.M.1,HB.M.1.M
2011,HB,M,TR,10,H,1.3,0,16,11,8.75,NA,96,0,HB.M.10,HB.M.10.H
2011,HB,M,TR,10,H,2.2,0,9,5,6.4,NA,32,5,HB.M.10,HB.M.10.H
2011,HB,M,TR,10,H,2.3,0,9,1,1.5,NA,2,0,HB.M.10,HB.M.10.H
2011,HB,M,TR,10,H,2.4,0,9,3,6,NA,18,0,HB.M.10,HB.M.10.H
2011,HB,M,TR,10,H,3.1,0,10,6,9.75,NA,58,0,HB.M.10,HB.M.10.H
2011,HB,M,TR,10,H,4.3,0,7,2,9.5,NA,19,0,HB.M.10,HB.M.10.H
2011,HB,M,TR,10,H,5.3,0,10,6,9.833333333,NA,59,10,HB.M.10,HB.M.10.H
2011,HB,M,TR,10,H,5.4,0,12,10,10.8,NA,108,2,HB.M.10,HB.M.10.H
2011,HB,M,TR,10,L,3.1,0,14,1,4,NA,4,1,HB.M.10,HB.M.10.L
2011,HB,M,TR,10,M,1.4,0,15,4,2.4,NA,10,18.4,HB.M.10,HB.M.10.M
2011,HB,M,TR,10,M,1.5,0,29,12,4.833333333,2,52,30,HB.M.10,HB.M.10.M
2011,HB,M,TR,10,M,2.3,0,30,9,10.77777778,NA,97,1,HB.M.10,HB.M.10.M
2011,HB,M,TR,10,M,2.4,0,11,3,2,NA,6,6,HB.M.10,HB.M.10.M
