transect,site,yrplanted,plot,Source,year,yrEm,treat,nseed.orig,nseed.rem,nEm,nFlwr,nR,avLn1new,avJnew,excl.str
NK,HE,2011,13,MT,2013,2,dormant,25,15,2,0,0,1,174,keep
NK,HE,2011,13,MT,2014,3,dormant,25,13,2,0,0,0,173,keep
NK,HE,2011,13,MT,2015,4,dormant,25,11,0,NA,NA,NA,NA,keep
NK,HE,2011,14,M,2013,2,dormant,25,19,4,2,1,2.25,180,keep
NK,HE,2011,14,H,2013,2,dormant,25,21,6,3,3,1.666666667,175.1666667,keep
NK,HE,2011,15,L,2013,2,dormant,25,15,0,NA,NA,NA,NA,keep
NK,HE,2011,15,L,2014,3,dormant,25,15,0,NA,NA,NA,NA,keep
NK,HE,2011,15,L,2015,4,dormant,25,15,2,NA,NA,NA,200,keep
NK,HE,2011,15,M,2013,2,dormant,25,15,2,0,0,1,169,keep
NK,HE,2011,15,M,2014,3,dormant,25,13,0,NA,NA,NA,NA,keep
NK,HE,2011,15,M,2015,4,dormant,25,13,0,NA,NA,NA,NA,keep
NK,HE,2011,15,H,2013,2,dormant,25,18,3,1,0,0.666666667,169,keep
NK,HE,2011,15,H,2014,3,dormant,25,15,5,0,0,0.2,173,keep
NK,HE,2011,15,H,2015,4,dormant,25,10,0,NA,NA,NA,NA,keep
NK,HE,2011,15,E,2013,2,dormant,25,20,2,0,0,2,186.5,keep
NK,HE,2011,15,E,2014,3,dormant,25,18,3,0,0,1,178.6666667,keep
NK,HE,2011,15,E,2015,4,dormant,25,15,0,NA,NA,NA,NA,keep
NK,HE,2011,15,F,2013,2,dormant,25,16,1,0,0,3,186,keep
NK,HE,2011,15,F,2014,3,dormant,25,15,1,0,0,0,173,keep
NK,HE,2011,15,F,2015,4,dormant,25,14,0,NA,NA,NA,NA,keep
NK,HE,2011,15,MT,2013,2,dormant,25,24,4,0,0,1.25,178.25,keep
NK,HE,2011,15,MT,2014,3,dormant,25,20,3,0,0,4,183,keep
NK,HE,2011,15,MT,2015,4,dormant,25,17,0,NA,NA,NA,NA,keep
